name,latitude,longitude,population,area_km2,pop_density,distance_km
Paris,48.8566,2.3522,2206488,105.4,20934.421252371914,2592.17183634493
Ankara,39.9334,32.8597,5445026,24521.0,222.05562579013906,13.057274483001283
London,51.5074,0.1278,8982000,1572.0,5713.740458015267,2812.429345640197
Rome,41.9028,12.4964,2872800,1285.0,2235.6420233463036,1712.2639053586076
Vienna,48.2082,16.3738,1897491,414.6,4576.678726483357,1598.0065733377803
Cophenagen,55.6761,12.5683,1330993,179.8,7402.630700778643,2298.205556397407
